SKU_ID,SKU_Name,Supplier_ID,Current_Stock,Reorder_Point,Safety_Stock,Max_Stock,Unit_Cost_USD,Carrying_Cost_Pct,Avg_Daily_Demand,Lead_Time_Days,Days_Of_Supply,Stock_Status,Annual_Carrying_Cost_USD,Stockout_Cost_Per_Day_USD
SKU00001,Electronic Control Unit,SUP0001,98,261,154,1668,4954.48,0.18,7.0,23,14.0,Critical,87397.03,2199.1
SKU00002,Steel Bracket Assembly,SUP0002,92,342,91,1959,4815.43,0.29,35.4,22,2.6,Low,128475.67,5349.07
SKU00003,Textile Roll 50m,SUP0003,887,406,20,1302,935.29,0.19,29.4,20,30.2,Healthy,157624.42,9158.64
SKU00004,Plastic Housing Unit,SUP0004,349,234,90,1253,1398.24,0.28,31.0,34,11.3,Healthy,136636.01,5618.34
SKU00005,Chemical Solution 20L,SUP0005,87,321,81,1035,3831.45,0.16,12.4,39,7.0,Low,53333.78,2634.25
SKU00006,Auto Part Gear Box,SUP0006,517,153,60,808,2161.15,0.18,33.7,14,15.3,Healthy,201116.62,3429.34
SKU00007,Furniture Panel Set,SUP0007,832,278,168,1619,4756.6,0.2,5.9,41,141.0,Healthy,791498.24,6715.32
SKU00008,Industrial Motor 5HP,SUP0008,151,97,69,1250,307.82,0.21,42.7,40,3.5,Healthy,9760.97,9118.62
SKU00009,Circuit Board Assembly,SUP0009,299,210,118,1780,1059.53,0.22,3.5,25,85.4,Healthy,69695.88,2503.55
SKU00010,Hydraulic Pump Unit,SUP0010,871,345,63,1240,2726.43,0.18,30.3,32,28.7,Healthy,427449.7,4253.07
SKU00011,Valve Assembly Kit,SUP0011,218,498,190,1304,1054.59,0.21,13.0,32,16.8,Low,48279.13,4180.73
SKU00012,Bearing Set Heavy Duty,SUP0012,161,102,140,1307,4837.56,0.17,38.7,29,4.2,Healthy,132404.02,9474.48
SKU00013,Cable Harness 10m,SUP0013,319,408,123,1746,255.02,0.27,14.9,45,21.4,Low,21964.87,3172.23
SKU00014,Filter Assembly Unit,SUP0014,92,91,181,1387,4037.0,0.19,42.8,28,2.1,Critical,70566.76,8655.25
SKU00015,Sensor Module Kit,SUP0015,234,398,28,694,314.7,0.29,5.8,40,40.3,Low,21355.54,2731.25
SKU00016,Power Supply Unit,SUP0016,183,242,130,794,2625.57,0.2,16.6,18,11.0,Low,96095.86,3255.99
SKU00017,Compressor Assembly,SUP0017,650,51,156,1178,2274.04,0.29,42.8,38,15.2,Healthy,428656.54,1946.5
SKU00018,Heat Exchanger Unit,SUP0018,77,344,110,713,3172.94,0.23,26.8,19,2.9,Critical,56192.77,845.66
SKU00019,Gasket Set Complete,SUP0019,765,424,126,589,3701.47,0.27,10.0,38,76.5,Excess,764538.63,8964.6
SKU00020,Seal Kit Assembly,SUP0020,605,201,127,536,3189.34,0.22,31.0,35,19.5,Excess,424501.15,2392.89
SKU00021,Conveyor Belt 20m,SUP0001,639,474,182,716,4545.98,0.26,44.7,22,14.3,Excess,755269.12,9064.48
SKU00022,Pneumatic Cylinder,SUP0002,987,192,38,548,2087.9,0.24,27.7,32,35.6,Excess,494581.75,3534.77
SKU00023,Safety Valve Unit,SUP0003,868,290,76,802,4546.8,0.21,3.7,25,234.6,Excess,828790.7,9156.16
SKU00024,Flow Meter Assembly,SUP0004,918,190,59,933,3873.19,0.24,18.0,30,51.0,Excess,853341.22,8547.81
SKU00025,Pressure Gauge Kit,SUP0005,78,57,137,638,3214.77,0.15,23.7,24,3.3,Critical,37612.81,6357.18
SKU00026,Temperature Sensor,SUP0006,172,241,26,999,3309.5,0.15,18.0,15,9.6,Low,85385.1,8485.07
SKU00027,Level Indicator Unit,SUP0007,96,272,133,1017,2709.03,0.19,11.9,26,8.1,Critical,49412.71,7873.93
SKU00028,Control Panel Board,SUP0008,260,305,40,1432,2878.81,0.2,13.5,18,19.3,Low,149698.12,2121.69
SKU00029,Junction Box Assembly,SUP0009,711,459,161,839,1470.61,0.26,9.7,14,73.3,Excess,271856.96,8296.55
SKU00030,Terminal Block Set,SUP0010,981,142,149,1875,4503.33,0.16,39.5,25,24.8,Healthy,706842.68,951.81
SKU00031,Cable Tray 3m,SUP0011,362,350,194,784,562.21,0.22,20.2,14,17.9,Healthy,44774.4,1641.88
SKU00032,Conduit Fitting Set,SUP0012,427,467,60,1743,2156.26,0.2,3.2,34,133.4,Low,184144.6,7712.81
SKU00033,Switch Gear Assembly,SUP0013,729,294,78,778,1400.0,0.29,4.1,32,177.8,Excess,295974.0,2766.79
SKU00034,Transformer Unit 5KVA,SUP0014,768,176,196,845,1833.22,0.26,9.3,30,82.6,Excess,366057.37,6203.36
SKU00035,Motor Starter Kit,SUP0015,807,466,58,990,2810.16,0.23,14.8,17,54.5,Excess,521593.8,7707.48
SKU00036,VFD Drive Unit,SUP0016,493,397,79,1815,1970.99,0.19,30.2,31,16.3,Healthy,184622.63,1966.42
SKU00037,PLC Controller Unit,SUP0017,775,424,163,1229,3689.51,0.15,12.0,15,64.6,Healthy,428905.54,5466.0
SKU00038,HMI Panel Assembly,SUP0018,840,377,85,696,1444.54,0.21,13.0,22,64.6,Excess,254816.86,6112.44
SKU00039,Servo Motor Kit,SUP0019,326,73,151,541,1670.17,0.16,41.7,45,7.8,Healthy,87116.07,6777.51
SKU00040,Encoder Assembly Unit,SUP0020,28,221,169,1145,598.41,0.17,11.4,45,2.5,Critical,2848.43,2118.76
SKU00041,Coupling Flexible,SUP0001,53,80,177,1489,1273.14,0.19,29.0,28,1.8,Critical,12820.52,5896.0
SKU00042,Shaft Seal Assembly,SUP0002,482,404,38,755,2427.28,0.19,36.0,15,13.4,Healthy,222290.3,2403.89
SKU00043,O-Ring Kit Complete,SUP0003,403,181,111,1581,3401.21,0.23,14.6,39,27.6,Healthy,315258.15,3630.76
SKU00044,Lubricant 20L Can,SUP0004,490,299,73,1101,3905.86,0.24,20.8,14,23.6,Healthy,459329.14,4703.59
SKU00045,Grease Cartridge Set,SUP0005,387,162,120,1994,299.67,0.19,44.2,44,8.8,Healthy,22034.74,3001.51
SKU00046,Cleaning Solution 5L,SUP0006,571,125,21,716,2720.72,0.18,26.3,27,21.7,Healthy,279635.6,5260.17
SKU00047,Safety Gloves Pair,SUP0007,860,128,111,771,3954.68,0.25,29.7,32,29.0,Excess,850256.2,545.1
SKU00048,Hard Hat Assembly,SUP0008,252,160,168,1247,593.66,0.15,20.4,35,12.4,Healthy,22440.35,5089.94
SKU00049,Safety Harness Kit,SUP0009,135,275,115,1912,4590.98,0.21,15.2,17,8.9,Low,130154.28,2561.77
SKU00050,First Aid Kit Complete,SUP0010,437,429,45,902,2007.91,0.23,23.5,23,18.6,Healthy,201815.03,2985.44
